owner_code	date	held_shares	change
capital-international-investors-893016	2017-12-31	160900	0
strs-ohio-43705	2017-12-31	159500	-23000
vaughan-nelson-investment-management-lp-64746	2017-12-31	157975	6175
mitsubishi-ufj-kokusai-asset-management-co-ltd-809775	2017-12-31	157207	5497
ascend-capital-llc-98342	2017-12-31	152007	152007
ao-asset-management-lp-957021	2017-12-31	150000	-55400
point72-asia-hong-kong-ltd-927582	2017-12-31	149534	149534
glg-partners-lp-635575	2017-12-31	148729	35148
vantage-investment-partners-llc-871576	2017-12-31	146221	146221
menora-mivtachim-holdings-ltd-698164	2017-12-31	146137	0
lomas-capital-management-llc-891068	2017-12-31	143798	-5323
ithaka-group-llc-821470	2017-12-31	143774	143774
millennium-tvp-management-co-llc-949775	2017-12-31	138155	0
cornerstone-capital-management-holdings-llc-805037	2017-12-31	136210	8500
hartwell-j-m-limited-partnership-91531	2017-12-31	131925	27680
old-mission-capital-llc-823325	2017-12-31	129890	79751
nissay-asset-management-corp-japan-adv-228584	2017-12-31	129299	129299
zweig-dimenna-associates-llc-881683	2017-12-31	126575	-66698
virginia-retirement-system-48036	2017-12-31	125200	33900
jabre-capital-partners-sa-775775	2017-12-31	125142	70142
south-texas-money-management-ltd-622214	2018-03-31	124377	24697
pinebridge-investments-lp-867693	2017-12-31	124065	-43091
target-asset-management-pte-ltd-927586	2017-09-30	123900	-50000
clearbridge-investments-llc-695765	2017-12-31	123487	-20368
comerica-bank-395688	2017-12-31	123088	1005
ardevora-asset-management-llp-957444	2017-12-31	120935	-70100
rbf-capital-llc-84114	2017-12-31	120000	20000
d-e-shaw--co-inc-63744	2017-12-31	119548	-1369266
castleark-management-llc-73348	2017-12-31	119494	28393
banque-pictet--cie-sa-927104	2017-12-31	118958	-1285
world-asset-management-inc-735095	2017-12-31	115839	-4524
portland-hill-asset-management-ltd-1023103	2017-12-31	113381	6631
investment-house-llc-899653	2017-12-31	110975	-2400
atlantic-trust-group-llc-646527	2017-12-31	110509	25312
calamos-advisors-llc-664235	2017-12-31	110077	21090
profund-advisors-llc-110284	2017-12-31	109981	-511
oppenheimer--co-inc-67538	2017-12-31	106371	7015
castle-hook-partners-lp-1015577	2017-12-31	105348	105348
flowering-tree-investment-management-pte-ltd-899755	2017-12-31	105119	-12151
commonwealth-of-pennsylvania-public-school-empls-retrmt-sys-61145	2017-12-31	103993	-1576
dupont-capital-management-corp-80949	2017-12-31	103844	43179
teachers-retirement-system-of-the-state-of-kentucky-63077	2017-12-31	102055	-651
bbva-compass-bancshares-inc-754567	2017-12-31	101685	-3288
buckingham-capital-management-inc-66087	2017-12-31	100500	-2059
ladenburg-thalmann-financial-services-inc-1250	2017-12-31	98930	22152
eulav-asset-management-873706	2017-12-31	98000	-3000
ark-investment-management-llc-909492	2017-12-31	95952	34384
baird-financial-group-inc-973119	2017-12-31	95926	22145
river--mercantile-asset-management-llp-826879	2017-12-31	95509	74050
cookson-peirce--co-inc-87396	2017-12-31	95125	-1120
envestnet-asset-management-inc-751652	2017-12-31	94922	-1652
