owner_code	date	held_shares	change
bluestein-r-h--co-63631	2017-12-31	520040	-20718
commonwealth-bank-of-australia-79518	2017-12-31	519365	-33786
qs-investors-llc-840483	2017-12-31	518947	-30823
capstone-asset-management-co-62982	2017-06-30	518678	-16511
old-mission-capital-llc-823325	2017-12-31	507849	507849
state-of-alaska-department-of-revenue-718093	2017-12-31	500432	495092
shell-asset-management-co-394644	2017-12-31	500055	61427
hermes-investment-management-ltd-28375	2017-12-31	499382	-57811
bradley-foster--sargent-incct-63896	2017-12-31	497663	-4339
new-mexico-educational-retirement-board-61877	2017-12-31	496466	19900
meag-munich-ergo-kapitalanlagegesellschaft-mbh-87400	2017-12-31	494753	-90249
chicago-equity-partners-llc-78232	2017-12-31	493136	-11820
mufg-americas-holdings-corp-1082	2017-12-31	489867	4871
bahl--gaynor-inc-61589	2017-12-31	485078	-5198
artisan-partners-limited-partnership-810204	2017-12-31	480511	-1532
hm-payson--co-76123	2017-12-31	479495	-7599
bbt-corp-9729	2017-12-31	478435	-14650
arrowgrass-capital-partners-us-lp-797721	2017-12-31	476601	11421
world-asset-management-inc-735095	2017-12-31	474685	-38085
adams-diversified-equity-fund-inc-9810	2017-12-31	473500	-7000
capital-fund-management-sa-672275	2017-12-31	468309	-402000
cornerstone-investment-partners-llc-675353	2018-03-31	466526	5694
laurion-capital-management-lp-735493	2017-12-31	463502	463502
united-states-steel--carnegie-pension-fund-46842	2017-09-30	463256	-75000
umb-bank-n-amo-30944	2017-12-31	462430	3660
federated-investors-inc-pa-9206	2017-12-31	461008	-15241
commonwealth-of-pennsylvania-public-school-empls-retrmt-sys-61145	2017-12-31	459253	39182
rothschild-asset-management-inc-75861	2017-12-31	457641	-34361
fiera-capital-corp-841421	2017-12-31	455506	-12371
bartlett--co-llc-881961	2017-12-31	453047	-7323
crossmark-global-holdings-inc-1035747	2017-12-31	452462	-67865
davis-r-m-inc-64317	2017-12-31	450248	-15459
cannell-peter-b--co-inc-40053	2017-12-31	448569	6735
segall-bryant--hamill-llc-27441	2017-12-31	447977	-10145
tredje-ap-fonden-973171	2017-12-31	447365	-42970
american-national-insurance-co-tx-379491	2017-12-31	444205	0
valiant-capital-management-lp-797462	2017-12-31	443400	0
sentry-investment-management-llc-61786	2017-12-31	443304	18
sit-investment-associates-inc-62832	2017-12-31	440730	4990
profund-advisors-llc-110284	2017-12-31	439581	-12536
douglass-winthrop-advisors-llc-666062	2017-12-31	438581	-10419
sumitomo-mitsui-asset-management-company-ltd-756195	2017-12-31	435369	-35591
shelton-capital-management-76130	2017-12-31	433743	-3654
thornburg-investment-management-inc-89338	2017-12-31	433162	-11648
pinnacle-associates-ltd-67683	2017-12-31	432246	-19384
bbt-securities-llc-777447	2017-12-31	431816	-3398
walleye-trading-llc-733607	2017-12-31	424609	-11611
cibc-world-markets-inc-770106	2017-12-31	421697	-500388
pinebridge-investments-lp-867693	2017-12-31	414959	-9854
tiverton-asset-management-llc-899671	2017-12-31	414096	31904
holowesko-partners-ltd-772263	2017-12-31	412500	140500
british-airways-pensions-investment-management-ltd-959866	2017-12-31	411605	-440370
gabelli-funds-llc-155615	2017-12-31	410922	-71988
da-davidson--co-66662	2017-12-31	409478	-46433
varma-mutual-pension-insurance-co-1048990	2017-12-31	405000	405000
fishman-jay-a-ltdmi-48537	2017-12-31	404590	-2588
ws-management-lllp-63177	2017-12-31	400600	-28600
greenbrier-partners-capital-management-llc-873549	2017-12-31	400000	0
bt-investment-management-ltd-874366	2017-12-31	398810	-27692
gofen--glossberg-llc-il-37363	2018-03-31	398209	-13488
logan-capital-management-inc-78314	2017-12-31	394104	-2691
honeywell-international-inc-11512	2017-12-31	392600	-79800
marsico-capital-management-llc-72913	2017-12-31	391591	-61929
sheaff-brock-investment-advisors-llc-987253	2017-12-31	391462	2729
kornitzer-capital-management-inc-ks-37348	2017-12-31	391282	-9116
independent-investors-inc-78454	2017-12-31	386833	-350
advisors-asset-management-inc-643128	2017-12-31	385910	19612
rathbone-brothers-plc-698532	2018-03-31	385602	-7012
synovus-financial-corp-9498	2017-12-31	383913	-1878
omers-administration-corp-47058	2017-12-31	383672	10500
davenport--co-llc-84508	2018-03-31	383057	-2282
whittier-trust-co-596178	2017-12-31	383052	-14258
twin-capital-management-inc-63379	2017-12-31	382930	6780
first-allied-advisory-services-inc-847635	2017-12-31	379574	-635
braun-stacey-associates-inc-61778	2017-12-31	379437	-14963
argent-capital-management-llc-80807	2017-12-31	376316	2708
wedge-capital-management-l-l-pnc-37213	2017-12-31	373155	51171
axiom-international-investors-llc-de-74292	2017-12-31	370529	-39776
ferguson-wellman-capital-management-inc-62934	2018-03-31	370296	-4436
tdam-usa-inc-80771	2017-12-31	368658	-19178
cacti-asset-management-llc-796993	2018-03-31	367453	3117
marshall-wace-north-america-lp-673771	2017-12-31	366667	140457
clark-capital-management-group-inc-699316	2017-12-31	364624	20675
steadfast-capital-management-lp-395926	2017-12-31	363021	363021
associated-banc-corp-2033	2017-12-31	362404	-12413
markston-international-llc-65521	2017-12-31	360604	-10079
banco-santander-sa-6454	2017-12-31	358353	-651237
private-advisor-group-llc-927300	2017-12-31	356732	-214459
mar-vista-investment-partners-llc-763823	2017-12-31	356326	2071
parsons-capital-management-incri-62408	2017-12-31	350209	-1177
mml-investors-services-llc-104628	2017-12-31	346173	22164
barings-llc-19167	2017-12-31	342129	36533
nf-trinity-capital-hong-kong-ltd-961707	2017-12-31	341397	0
clifford-swan-investment-counsel-llc-64780	2017-12-31	341341	1365
patten--patten-inctn-66515	2017-12-31	338419	3401
skylands-capital-llc-646073	2017-12-31	337350	12900
bokf-na-227239	2017-12-31	336683	-5553
seizert-capital-partners-llc-97678	2017-12-31	335578	-57197
